symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_jaguar,make_mazda,make_mercedes-benz,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,fuel-type_diesel,fuel-type_gas,aspiration_std,aspiration_turbo,num-of-doors_four,num-of-doors_two,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,num-of-cylinders_eight,num-of-cylinders_five,num-of-cylinders_four,num-of-cylinders_six,num-of-cylinders_three,fuel-system_1bbl,fuel-system_2bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi
2,164,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10.0,102.0,5500,24,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,91,95.7,166.3,64.4,53.0,2094,98,3.19,3.03,9.0,70.0,4800,38,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,128,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69.0,5200,31,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,125,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88.0,5000,25,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,119,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102.0,5500,24,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,154,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68.0,5500,31,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,93,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123.0,4350,22,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,122,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69.0,5200,31,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
3,194,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9.0,160.0,5200,19,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,168,94.5,168.7,64.0,52.6,2300,98,3.24,3.08,9.4,112.0,6600,26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,83,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73.0,4400,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,85,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9.0,82.0,4800,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
3,150,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9.0,160.0,5500,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,81,94.5,158.8,63.6,52.0,1909,90,3.03,3.11,9.6,70.0,5400,38,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,104,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9.0,68.0,5000,31,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,145,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176.0,4750,15,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,134,98.4,176.2,65.6,52.0,2714,146,3.62,3.5,9.3,116.0,4800,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,129,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84.0,4800,26,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,161,108.0,186.7,68.3,56.0,3130,134,3.61,3.21,7.0,142.0,5600,18,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,91,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9.0,70.0,4800,28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
-1,95,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114.0,5400,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,106,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9.0,86.0,5800,27,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,101,93.7,150.0,64.0,52.6,1956,92,2.91,3.41,9.2,76.0,6000,30,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,103,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69.0,5200,31,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,98,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70.0,5400,38,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
-1,65,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92.0,4200,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,102,97.0,172.0,65.4,54.3,2510,108,3.62,2.64,7.7,111.0,4800,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,91,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9.0,70.0,4800,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
3,197,102.9,183.5,67.7,52.0,3016,171,3.27,3.35,9.3,161.0,5200,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,154,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68.0,5500,31,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2,83,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73.0,4400,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
-2,103,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114.0,5400,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,91,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56.0,4500,38,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1,128,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69.0,5200,31,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,148,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68.0,5500,31,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,161,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95.0,4150,28,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,115,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84.0,4800,26,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,87,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9.0,62.0,4800,35,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,161,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95.0,4150,28,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,161,93.0,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102.0,5500,24,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0,106,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9.0,86.0,5800,27,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,231,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9.0,160.0,5200,19,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,118,104.9,175.0,66.1,54.4,2670,140,3.76,3.16,8.0,120.0,5000,19,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,81,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9.0,62.0,4800,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,110,96.5,163.4,64.0,54.5,2010,92,2.91,3.41,9.2,76.0,6000,30,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
-2,103,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162.0,5100,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,168,94.5,168.7,64.0,52.6,2265,98,3.24,3.08,9.4,112.0,6600,26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-1,74,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114.0,5400,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
